,d_nm,amp_scale
0,99.99999999999999,5.826031048442637
1,100.07828673941452,5.852836245681922
2,100.15663476696479,5.879761597485468
3,100.23504413063117,5.906807614940633
4,100.3135148784318,5.933974811073895
5,100.39204705842225,5.961263700856093
6,100.47064071869585,5.988674801207831
7,100.5492959073834,6.016208631004738
8,100.62801267265361,6.043865711082921
9,100.70679106271268,6.071646564244145
10,100.78563112580474,6.09955171526131
11,100.8645329102115,6.127581690883664
12,100.94349646425266,6.155737019842216
13,101.02252183628555,6.184018232854894
14,101.10160907470555,6.212425862632064
15,101.18075822794577,6.240960443881652
16,101.25996934447738,6.269622513314566
17,101.33924247280935,6.298412609649864
18,101.41857766148875,6.327331273620176
19,101.49797495910052,6.356379047976845
20,101.57743441426784,6.385556477495366
21,101.6569560756517,6.414864108980436
22,101.73653999195143,6.444302491271446
23,101.81618621190431,6.4738721752475294
24,101.89589478428589,6.503573713832981
25,101.97566575790977,6.53340766200231
26,102.05549918162795,6.563374576785687
27,102.13539510433048,6.593475017273933
28,102.21535357494587,6.62370954462394
29,102.29537464244073,6.654078722063696
30,102.37545835582024,6.684583114897642
31,102.45560476412768,6.715223290511703
32,102.53581391644502,6.745999818378626
33,102.61608586189236,6.776913270062983
34,102.69642064962851,6.807964219226468
35,102.77681832885054,6.839153241632941
36,102.85727894879425,6.8704809151536494
37,102.93780255873376,6.9019478197722295
38,103.01838920798203,6.933554537590034
39,103.09903894589033,6.965301652830941
40,103.17975182184884,6.997189751846743
41,103.26052788528618,7.029219423122011
42,103.34136718566985,7.0613912572792925
43,103.42226977250591,7.093705847084042
44,103.50323569533937,7.126163787449854
45,103.5842650037538,7.158765675443246
46,103.6653577473718,7.191512110288899
47,103.74651397585463,7.224403693374507
48,103.82773373890262,7.257441028255882
49,103.90901708625482,7.290624720661809
50,103.99036406768938,7.32395537849912
51,104.07177473302329,7.357433611857535
52,104.15324913211266,7.391060033014704
53,104.23478731485248,7.4248352564409945
54,104.316389331177,7.458759898804547
55,104.39805523105937,7.492834578975978
56,104.479785064512,7.527059918033397
57,104.56157888158631,7.5614365392671745
58,104.64343673237313,7.595965068184827
59,104.72535866700221,7.6306461325157375
60,104.80734473564283,7.665480362216125
61,104.88939498850333,7.700468389473619
62,104.97150947583152,7.735610848712209
63,105.05368824791437,7.770908376596836
64,105.13593135507841,7.806361612038233
65,105.2182388476894,7.84197119619754
66,105.30061077615271,7.877737772491083
67,105.38304719091296,7.9136619865949385
68,105.46554814245445,7.949744486449659
69,105.54811368130085,7.985985922264858
70,105.63074385801555,8.022386946523856
71,105.71343872320129,8.058948213988142
72,105.79619832750073,8.095670381702137
73,105.87902272159587,8.132554108997528
74,105.96191195620864,8.169600057497943
75,106.04486608210046,8.20680889112332
76,106.1278851500727,8.244181276094475
77,106.21096921096628,8.281717880937503
78,106.29411831566219,8.31941937648819
79,106.37733251508094,8.35728643589642
80,106.4606118601832,8.395319734630615
81,106.54395640196931,8.433519950481946
82,106.62736619147971,8.471887763568798
83,106.71084127979462,8.510423856340976
84,106.79438171803444,8.549128913584036
85,106.8779875573594,8.588003622423473
86,106.96165884896998,8.627048672328987
87,107.04539564410655,8.666264755118643
88,107.12919799404976,8.705652564963048
89,107.21306595012024,8.745212798389511
90,107.296999563679,8.784946154286075
91,107.38099888612703,8.824853333905683
92,107.4650639689058,8.864935040870199
93,107.5491948634968,8.905191981174337
94,107.63339162142206,8.945624863189815
95,107.71765429424374,8.98623439766914
96,107.80198293356459,9.027021297749743
97,107.8863775910275,9.067986278957585
98,107.97083831831601,9.109130059211319
99,108.05536516715397,9.150453358825919
100,108.13995818930586,9.191956900516583
101,108.22461743657651,9.233641409402424
102,108.3093429608115,9.275507613010282
103,108.39413481389683,9.31755624127831
104,108.47899304775927,9.35978802655981
105,108.56391771436608,9.402203703626652
106,108.64890886572542,9.444804009673087
107,108.73396655388585,9.487589684319039
108,108.81909083093703,9.530561469613929
109,108.90428174900913,9.573720110039899
110,108.9895393602733,9.61706635251545
111,109.07486371694138,9.660600946398676
112,109.16025487126626,9.704324643490844
113,109.24571287554159,9.748238198039488
114,109.33123778210206,9.792342366741948
115,109.41682964332323,9.836637908748383
116,109.50248851162179,9.881125585665238
117,109.58821443945531,9.925806161558121
118,109.67400747932263,9.970680402955287
119,109.75986768376345,10.01574907885039
120,109.84579510535883,10.061012960705808
121,109.93178979673078,10.10647282245539
122,110.01785181054274,10.152129440507734
123,110.10398119949913,10.19798359374877
124,110.19017801634587,10.244036063544957
125,110.27644231386994,10.290287633745816
126,110.36277414489987,10.336739090686999
127,110.44917356230533,10.383391223192787
128,110.53564061899762,10.430244822578997
129,110.6221753679292,10.477300682655448
130,110.70877786209424,10.524559599728777
131,110.79544815452816,10.57202237260471
132,110.88218629830811,10.619689802590887
133,110.96899234655261,10.667562693499077
134,111.05586635242194,10.71564185164776
135,111.14280836911782,10.763928085864295
136,111.22981844988381,10.812422207487526
137,111.31689664800493,10.861125030369703
138,111.40404301680815,10.910037370878987
139,111.49125760966199,10.959160047901422
140,111.5785404799769,11.008493882843103
141,111.665891681205,11.058039699632255
142,111.75331126684037,11.107798324721237
143,111.84079929041903,11.157770587088446
144,111.9283558055187,11.20795731824023
145,112.01598086575915,11.258359352212695
146,112.10367452480216,11.30897752557362
147,112.19143683635156,11.359812677424044
148,112.2792678541531,11.410865649399982
149,112.36716763199465,11.462137285674007
150,112.4551362237062,11.51362843295693
151,112.54317368315996,11.565339940499184
152,112.63128006427016,11.617272660092265
153,112.71945542099337,11.669427446070195
