,d_nm,amp_scale
0,99.99999999999999,4.79983776570427
1,100.07828673941452,4.821851283865681
2,100.15663476696479,4.84396316152581
3,100.23504413063117,4.866173816128416
4,100.3135148784318,4.888483666704115
5,100.39204705842225,4.910893133874616
6,100.47064071869585,4.933402639857361
7,100.5492959073834,4.956012608469873
8,100.62801267265361,4.978723465134326
9,100.70679106271268,5.001535636881911
10,100.78563112580474,5.024449552357405
11,100.8645329102115,5.047465641823523
12,100.94349646425266,5.070584337165498
13,101.02252183628555,5.0938060718954015
14,101.10160907470555,5.117131281156743
15,101.18075822794577,5.140560401728786
16,101.25996934447738,5.164093872031141
17,101.33924247280935,5.187732132128057
18,101.41857766148875,5.211475623733002
19,101.49797495910052,5.23532479021298
20,101.57743441426784,5.259280076593122
21,101.6569560756517,5.2833419295609305
22,101.73653999195143,5.307510797470909
23,101.81618621190431,5.331787130348789
24,101.89589478428589,5.356171379896129
25,101.97566575790977,5.38066399949459
26,102.05549918162795,5.4052654442104675
27,102.13539510433048,5.429976170798959
28,102.21535357494587,5.454796637708742
29,102.29537464244073,5.479727305086203
30,102.37545835582024,5.504768634779931
31,102.45560476412768,5.529921090345075
32,102.53581391644502,5.555185137047739
33,102.61608586189236,5.580561241869297
34,102.69642064962851,5.606049873510888
35,102.77681832885054,5.631651502397609
36,102.85727894879425,5.6573666006830425
37,102.93780255873376,5.683195642253447
38,103.01838920798203,5.709139102732257
39,103.09903894589033,5.735197459484252
40,103.17975182184884,5.761371191620053
41,103.26052788528618,5.7876607800003015
42,103.34136718566985,5.8140667072400545
43,103.42226977250591,5.840589457713052
44,103.50323569533937,5.86722951755606
45,103.5842650037538,5.89398737467308
46,103.6653577473718,5.920863518739711
47,103.74651397585463,5.947858441207359
48,103.82773373890262,5.974972635307549
49,103.90901708625482,6.002206596056105
50,103.99036406768938,6.029560820257513
51,104.07177473302329,6.057035806508996
52,104.15324913211266,6.084632055204892
53,104.23478731485248,6.112350068540747
54,104.316389331177,6.140190350517613
55,104.39805523105937,6.168153406946147
56,104.479785064512,6.196239745450876
57,104.56157888158631,6.224449875474314
58,104.64343673237313,6.252784308281147
59,104.72535866700221,6.281243556962338
60,104.80734473564283,6.309828136439366
61,104.88939498850333,6.338538563468184
62,104.97150947583152,6.367375356643499
63,105.05368824791437,6.396339036402744
64,105.13593135507841,6.4254301250302515
65,105.2182388476894,6.4546491466612546
66,105.30061077615271,6.483996627286018
67,105.38304719091296,6.513473094753783
68,105.46554814245445,6.543079078776926
69,105.54811368130085,6.57281511093487
70,105.63074385801555,6.602681724678144
71,105.71343872320129,6.6326794553323145
72,105.79619832750073,6.662808840102073
73,105.87902272159587,6.6930704180750045
74,105.96191195620864,6.723464730225786
75,106.04486608210046,6.753992319419842
76,106.1278851500727,6.784653730417485
77,106.21096921096628,6.815449509877616
78,106.29411831566219,6.846380206361769
79,106.37733251508094,6.877446370337836
80,106.4606118601832,6.908648554184062
81,106.54395640196931,6.9399873121926765
82,106.62736619147971,6.971463200573891
83,106.71084127979462,7.003076777459529
84,106.79438171803444,7.034828602906956
85,106.8779875573594,7.066719238902694
86,106.96165884896998,7.098749249366248
87,107.04539564410655,7.130919200153735
88,107.12919799404976,7.163229659061709
89,107.21306595012024,7.1956811958307
90,107.296999563679,7.228274382148967
91,107.38099888612703,7.261009791656037
92,107.4650639689058,7.293887999946489
93,107.5491948634968,7.326909584573329
94,107.63339162142206,7.360075125051732
95,107.71765429424374,7.393385202862506
96,107.80198293356459,7.426840401455694
97,107.8863775910275,7.460441306253966
98,107.97083831831601,7.494188504656221
99,108.05536516715397,7.528082586040969
100,108.13995818930586,7.562124141769844
101,108.22461743657651,7.596313765190913
102,108.3093429608115,7.63065205164218
103,108.39413481389683,7.665139598454836
104,108.47899304775927,7.69977700495673
105,108.56391771436608,7.73456487247555
106,108.64890886572542,7.769503804342265
107,108.73396655388585,7.8045944058942105
108,108.81909083093703,7.8398372844784845
109,108.90428174900913,7.875233049455087
110,108.9895393602733,7.910782312200126
111,109.07486371694138,7.946485686108936
112,109.16025487126626,7.982343786599319
113,109.24571287554159,8.018357231114459
114,109.33123778210206,8.054526639126262
115,109.41682964332323,8.090852632138107
116,109.50248851162179,8.127335833688141
117,109.58821443945531,8.163976869352048
118,109.67400747932263,8.200776366746178
119,109.75986768376345,8.237734955530339
120,109.84579510535883,8.27485326741082
121,109.93178979673078,8.312131936143157
122,110.01785181054274,8.349571597535068
123,110.10398119949913,8.387172889449127
124,110.19017801634587,8.424936451805753
125,110.27644231386994,8.462862926585679
126,110.36277414489987,8.500952957832947
127,110.44917356230533,8.53920719165732
128,110.53564061899762,8.577626276237167
129,110.6221753679292,8.616210861821855
130,110.70877786209424,8.654961600734554
131,110.79544815452816,8.693879147374547
132,110.88218629830811,8.73296415821993
133,110.96899234655261,8.772217291829957
134,111.05586635242194,8.811639208847582
135,111.14280836911782,8.851230572001683
136,111.22981844988381,8.89099204610973
137,111.31689664800493,8.93092429807976
138,111.40404301680815,8.971027996912953
139,111.49125760966199,9.011303813705702
140,111.5785404799769,9.051752421651935
141,111.665891681205,9.092374496045215
142,111.75331126684037,9.133170714280979
143,111.84079929041903,9.174141755858535
144,111.9283558055187,9.215288302383144
145,112.01598086575915,9.25661103756803
146,112.10367452480216,9.29811064723646
147,112.19143683635156,9.339787819323561
148,112.2792678541531,9.381643243878257
149,112.36716763199465,9.423677613065065
150,112.4551362237062,9.465891621166053
151,112.54317368315996,9.508285964582512
152,112.63128006427016,9.550861341836606
153,112.71945542099337,9.593618453573212
