DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1688689081.747,1081.7471,3,2,217,217,0.00,2427,2467,13.10,16.59,978.29,25.73,341.32,0.00,0.00,-0.14,163.52,35.19,624.62,963.96,25.87,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,13,33,46,37,30,37,18,2,0,0,0,1,0,0,0,0
1688689082.747,1082.7471,3,0,396,396,101.27,2427,2472,15.11,17.15,978.24,25.75,341.32,12.41,25.27,3.91,325.27,35.28,624.62,976.70,25.79,11.28,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,61,78,66,57,52,31,12,2,1,1,0,0,0,0,0
1688689083.747,1083.7469,3,0,359,359,124.30,2427,2473,15.14,16.21,978.32,25.76,341.32,14.87,29.08,2.89,302.86,35.43,622.86,978.02,25.40,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,34,61,56,61,64,47,24,10,0,1,1,0,0,0,0,0
1688689084.747,1084.7470,3,0,373,373,126.83,2424,2468,14.66,16.92,978.29,25.76,341.32,15.40,29.59,2.94,309.01,35.78,622.86,979.78,25.45,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,37,63,63,65,49,49,37,7,1,0,2,0,0,0,0,0
1688689085.747,1085.7470,3,0,399,399,134.00,2426,2470,14.68,16.24,978.36,25.77,341.32,17.46,32.07,2.98,315.60,35.62,623.74,980.66,25.40,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,40,52,72,78,68,48,31,8,0,0,2,0,0,0,0,0
1688689086.747,1086.7470,3,0,399,399,131.11,2425,2468,14.25,16.66,978.35,25.78,341.32,15.01,30.53,3.04,313.85,35.54,624.18,981.98,25.23,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,72,66,78,59,56,22,9,1,0,0,0,1,0,0,0
1688689087.746,1087.7458,3,0,317,317,110.46,2421,2464,14.22,16.76,978.33,25.79,341.32,15.34,30.38,2.87,316.48,35.80,622.86,981.98,25.34,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,23,55,50,44,50,49,32,11,1,0,1,0,1,0,0,0
1688689088.746,1088.7462,3,0,377,377,123.66,2423,2466,14.52,16.35,978.38,25.80,341.32,16.06,32.06,3.05,316.92,35.90,622.42,982.86,25.68,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,38,67,64,66,48,58,29,3,2,2,0,0,0,0,0,0
1688689089.746,1089.7464,3,0,355,355,117.66,2422,2466,14.56,16.22,978.28,25.81,341.32,16.21,30.71,3.02,319.56,36.03,618.90,983.74,25.42,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,28,61,51,78,43,48,37,7,1,1,0,0,0,0,0,0
1688689090.747,1090.7471,3,0,377,377,128.42,2422,2465,14.35,16.57,978.30,25.82,341.32,15.35,29.97,2.94,323.08,36.14,622.86,984.62,25.37,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,26,73,61,70,72,46,21,6,1,1,0,0,0,0,0,0
1688689091.747,1091.7470,3,0,394,394,135.31,2422,2462,13.55,16.71,978.31,25.82,341.32,16.53,31.05,2.91,318.68,36.23,621.98,981.98,25.42,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,65,72,66,45,54,37,16,1,2,0,0,0,0,1,0
1688689092.747,1092.7473,3,0,387,387,124.69,2420,2463,14.42,16.52,978.32,25.84,341.32,14.90,30.39,3.10,319.56,36.29,621.10,985.93,25.40,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,33,42,55,58,63,83,40,10,1,0,1,1,0,0,0,0
1688689093.747,1093.7470,3,0,361,361,123.30,2420,2464,14.79,16.81,978.31,25.85,341.32,15.49,31.42,2.93,322.20,36.40,621.10,987.25,25.48,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,41,58,61,46,55,52,36,9,2,1,0,0,0,0,0,0
1688689094.746,1094.7459,3,0,365,365,123.56,2419,2464,14.95,16.15,978.36,25.86,341.32,16.46,30.04,2.95,324.40,36.53,625.49,987.25,25.37,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,32,48,70,63,50,63,28,7,2,1,0,0,1,0,0,1
1688689095.747,1095.7470,3,0,375,375,131.03,2417,2463,15.10,17.05,978.33,25.88,341.32,15.17,30.42,2.86,325.71,36.72,621.10,988.57,25.34,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,57,57,79,62,48,28,11,1,0,1,0,0,0,0,0
1688689096.747,1096.7470,3,0,367,367,128.35,2417,2459,13.69,16.51,978.36,25.89,341.32,15.57,31.01,2.86,325.27,36.72,620.66,989.89,25.34,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,30,63,59,62,61,58,25,8,1,0,0,0,0,0,0,0
1688689097.747,1097.7471,3,0,379,379,130.98,2418,2460,14.20,16.48,978.26,25.91,341.32,15.16,30.23,2.89,327.47,36.76,621.54,987.69,25.34,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,33,63,61,52,53,69,37,8,1,1,1,0,0,0,0,0
1688689098.747,1098.7470,3,0,348,348,119.29,2418,2459,13.83,16.24,978.33,25.92,341.32,15.28,31.11,2.92,328.79,36.84,620.22,989.45,25.34,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,29,54,52,67,56,49,36,4,0,0,1,0,0,0,0,0
1688689099.746,1099.7460,3,0,353,353,123.11,2420,2459,13.18,16.44,978.27,25.94,341.32,15.49,31.20,2.87,329.23,36.89,621.10,989.45,25.31,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,26,64,57,59,55,52,32,7,1,0,0,0,0,0,0,0
1688689100.747,1100.7467,3,0,357,357,123.60,2415,2459,14.83,16.35,978.27,25.96,341.32,15.30,30.92,2.89,331.43,37.03,620.22,991.65,25.42,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,59,70,52,66,42,30,5,1,1,0,0,0,0,0,0
1688689101.747,1101.7470,3,0,381,381,128.75,2417,2461,14.55,16.39,978.34,25.97,341.32,15.85,31.38,2.96,330.11,37.03,618.90,991.21,25.26,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,39,56,53,71,57,58,36,9,2,0,0,0,0,0,0,0
1688689102.746,1102.7458,3,0,367,367,124.79,2418,2460,14.00,16.30,978.32,25.99,341.32,16.37,31.52,2.94,334.07,37.08,619.78,991.65,25.62,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,23,66,76,77,40,46,32,7,0,0,0,0,0,0,0,0
1688689103.746,1103.7459,3,0,370,370,122.21,2415,2460,15.12,16.82,978.33,26.00,341.32,13.95,30.07,3.03,330.99,36.80,618.90,992.97,25.26,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,26,68,55,64,51,55,35,10,4,0,1,0,1,0,0,0
1688689104.748,1104.7476,3,0,329,329,107.83,2417,2463,15.45,16.60,978.32,26.02,341.33,16.28,31.16,3.05,333.19,37.20,619.78,992.53,25.28,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,18,53,53,65,48,55,28,5,1,0,1,1,0,1,0,0
1688689105.746,1105.7458,3,0,375,375,124.40,2415,2457,14.02,16.51,978.28,26.04,341.33,15.11,30.84,3.01,335.82,37.16,618.90,992.09,25.34,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,73,70,57,56,53,30,5,0,0,0,0,0,0,0,0
1688689106.747,1106.7471,3,0,358,358,121.41,2416,2457,13.77,16.00,978.37,26.06,341.33,15.30,30.66,2.95,332.75,37.31,618.46,993.85,25.34,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,41,66,52,53,50,52,31,10,2,0,0,0,1,0,0,0
1688689107.746,1107.7462,3,0,364,364,121.60,2414,2456,13.90,16.63,978.29,26.08,341.33,15.15,29.46,2.99,333.19,37.54,618.02,993.85,25.28,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,30,51,63,62,50,63,35,6,3,0,0,0,0,0,1,0
1688689108.746,1108.7460,3,0,383,383,130.35,2412,2454,13.99,16.19,978.33,26.10,341.33,15.47,31.78,2.94,336.26,37.43,621.54,994.73,25.34,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,40,71,65,59,46,56,33,9,1,0,1,1,0,1,0,0
1688689109.746,1109.7459,3,0,369,369,127.29,2418,2462,14.79,16.21,978.28,26.12,341.33,15.41,30.03,2.90,332.31,37.45,618.46,990.33,25.34,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,28,50,78,75,47,49,35,6,0,0,0,1,0,0,0,1
1688689110.747,1110.7469,3,0,377,377,125.83,2417,2459,14.13,16.27,978.33,26.13,341.33,16.71,30.68,3.00,333.63,37.56,620.66,994.73,25.45,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,63,77,67,64,43,21,10,0,1,0,0,0,0,0,0
1688689111.747,1111.7472,3,0,356,356,121.60,2415,2455,13.47,16.26,978.36,26.16,341.33,14.60,29.38,2.93,333.63,37.56,619.34,995.16,25.28,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,36,46,55,72,59,46,34,5,2,0,0,0,0,1,0,0
1688689112.747,1112.7469,3,0,354,354,122.01,2413,2456,14.32,16.43,978.32,26.18,341.33,17.05,31.39,2.90,334.51,37.58,619.34,995.16,25.28,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,63,66,51,65,43,26,7,1,0,1,0,0,0,0,0
1688689113.747,1113.7470,3,0,359,359,121.42,2417,2460,14.17,16.53,978.31,26.20,341.33,14.66,30.06,2.96,335.38,37.45,618.02,995.16,25.31,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,32,50,62,58,57,60,32,5,0,2,0,1,0,0,0,0
1688689114.747,1114.7471,3,0,380,380,130.38,2413,2457,14.91,16.41,978.39,26.23,341.33,16.50,31.05,2.91,334.51,37.66,617.14,996.92,25.09,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,47,63,50,60,68,55,31,4,2,0,0,0,0,0,0,0
1688689115.747,1115.7470,3,0,347,347,117.78,2416,2460,14.49,16.50,978.33,26.24,341.33,15.48,29.74,2.95,334.51,37.68,618.90,992.97,25.14,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,33,56,68,66,39,47,27,7,1,0,1,2,0,0,0,0
1688689116.746,1116.7460,3,0,385,385,126.18,2417,2461,14.77,16.01,978.32,26.26,341.33,15.79,30.49,3.05,334.95,37.70,617.58,996.92,25.34,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,31,67,64,63,52,55,36,15,2,0,0,0,0,0,0,0
1688689117.747,1117.7469,3,0,329,329,112.78,2415,2458,14.58,16.88,978.34,26.28,341.33,16.94,31.54,2.92,334.51,37.91,616.26,995.60,25.34,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,25,51,61,50,54,39,36,7,3,2,0,0,1,0,0,0
1688689118.747,1118.7470,3,0,370,370,122.53,2415,2459,14.93,16.39,978.29,26.30,341.33,16.49,32.38,3.02,335.82,37.68,615.82,996.92,25.26,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,38,53,67,46,65,49,43,5,2,0,1,0,0,1,0,0
1688689119.746,1119.7465,3,0,376,376,127.51,2417,2459,13.89,16.02,978.30,26.34,341.33,16.48,30.58,2.95,336.70,37.81,618.46,996.48,25.26,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,41,63,79,64,46,51,25,4,2,1,0,0,0,0,0,0
1688689120.747,1120.7470,3,0,358,358,120.44,2414,2459,15.03,16.58,978.36,26.37,341.33,15.58,29.42,2.97,335.82,37.81,616.26,997.36,25.28,11.28,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,38,74,60,55,55,39,30,6,0,0,0,0,0,1,0,0
1688689121.746,1121.7459,3,0,349,349,116.28,2414,2455,13.53,16.50,978.29,26.39,341.33,16.47,30.19,3.00,338.02,37.85,609.67,997.80,25.23,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,30,63,57,61,62,42,20,11,1,0,2,0,0,0,0,0
1688689122.746,1122.7459,3,0,360,360,123.18,2417,2460,14.34,16.44,978.34,26.42,341.33,16.31,31.28,2.92,335.82,37.91,615.82,997.80,25.06,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,52,68,73,54,41,26,9,2,0,0,0,0,0,0,0
1688689123.746,1123.7460,3,0,386,386,132.20,2414,2457,14.19,16.57,978.26,26.44,341.33,15.21,30.60,2.92,338.46,37.91,617.14,996.48,25.17,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,24,68,77,58,49,58,38,7,3,2,2,0,0,0,0,0
1688689124.747,1124.7470,3,0,369,369,126.15,2416,2458,14.09,16.41,978.31,26.46,341.33,16.42,32.16,2.93,342.86,37.93,616.70,997.80,25.17,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,26,57,76,71,50,48,30,9,0,0,2,0,0,0,0,0
