DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164,b165,b166,b167,b168,b169,b170,b171,b172,b173,b174,b175,b176,b177,b178,b179,b180,b181,b182,b183,b184,b185,b186,b187,b188,b189,b190,b191,b192,b193,b194,b195,b196,b197,b198,b199
1688690220.134,2220.1336,3,0,436,436,145.53,2516,2561,15.22,18.87,978.03,36.92,341.57,21.00,46.51,3.00,276.48,39.03,601.76,1005.71,28.02,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,0,1,0,0,1,4,1,2,2,0,2,2,0,2,2,1,1,0,0,2,1,5,0,2,0,3,0,1,2,0,1,2,1,1,2,2,1,0,2,1,2,0,1,1,2,2,1,1,2,0,5,0,0,1,1,0,2,3,0,1,1,2,4,0,1,2,2,0,0,5,1,3,4,1,4,0,3,3,2,2,1,3,2,3,1,0,0,1,0,0,2,0,1,1,1,0,0,2,3,0,2,5,6,13,29,27,27,32,28,28,18,23,9,9,2,3,1,0,0,0,2,1,1,1,1,1,2,2,4,1,3,3,2,0,1,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690221.134,2221.1338,3,0,411,411,143.61,2516,2568,17.37,18.30,977.98,36.92,341.57,24.74,48.90,2.86,275.60,39.23,600.88,1006.59,28.10,11.36,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,1,1,0,0,0,1,0,1,0,1,0,2,2,0,0,3,3,0,0,0,5,2,1,2,0,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,0,1,1,2,0,1,4,1,2,1,1,3,2,1,0,1,2,1,2,1,2,2,1,1,3,0,2,1,0,1,1,0,3,2,1,4,2,2,4,2,2,3,0,0,1,3,2,1,0,0,1,0,0,2,4,0,0,0,3,3,2,5,14,12,17,26,35,31,19,27,27,18,12,5,0,1,0,0,0,1,4,2,2,0,0,0,1,2,0,1,0,2,3,1,2,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690222.134,2222.1335,3,0,494,494,161.49,2516,2566,16.70,18.76,978.00,36.94,341.57,19.87,45.15,3.06,274.73,39.07,601.32,1007.47,28.10,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,0,1,0,0,1,3,2,2,3,0,0,1,2,4,1,0,0,4,0,3,2,3,5,0,3,0,0,1,3,2,3,2,6,2,0,2,1,4,0,4,0,6,1,1,2,1,0,1,1,3,2,4,2,3,0,0,1,1,0,1,3,0,1,2,0,0,2,2,0,4,0,1,3,3,3,2,4,6,3,1,7,4,0,1,2,2,0,2,1,1,0,1,1,1,2,0,1,0,1,3,4,4,8,14,19,27,38,35,28,29,30,15,17,12,4,1,1,1,0,1,1,0,2,3,3,1,7,2,1,1,1,3,1,1,1,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690223.134,2223.1335,3,0,416,416,135.29,2517,2564,15.51,18.13,978.03,36.95,341.57,22.31,46.49,3.07,272.97,39.01,600.88,1006.15,28.07,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,1,0,0,0,0,0,0,0,2,0,2,2,0,2,3,0,0,2,3,2,2,1,3,3,3,3,1,1,3,2,2,0,2,2,1,0,0,4,0,3,1,1,1,1,2,2,0,0,2,0,1,2,2,1,1,2,3,2,0,2,2,3,0,0,1,3,1,1,2,2,3,1,0,3,4,1,1,0,4,6,2,3,5,1,3,2,1,1,2,2,2,1,1,2,0,1,0,1,0,0,0,1,0,1,1,2,6,10,12,12,20,23,33,35,26,25,19,8,6,2,2,0,0,1,0,0,0,1,1,2,1,1,1,2,0,1,1,0,0,0,1,2,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690224.133,2224.1334,3,0,451,451,146.55,2517,2565,15.85,18.21,978.06,36.96,341.57,21.89,46.29,3.08,279.12,39.13,600.00,1006.15,28.12,11.29,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,0,0,0,1,1,2,0,6,2,1,0,5,1,1,1,1,3,3,1,2,3,1,1,0,2,0,3,1,2,1,0,2,3,1,2,2,0,3,4,3,0,1,0,1,2,0,0,1,3,2,0,2,0,0,0,4,2,0,3,2,1,2,1,2,1,3,2,4,1,2,2,2,2,3,1,7,5,1,3,3,1,4,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,3,2,6,9,12,15,17,21,32,27,25,17,27,24,23,6,2,2,2,0,0,1,1,0,3,2,2,4,1,2,0,0,1,2,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690225.134,2225.1337,3,0,460,460,149.98,2514,2558,14.51,18.31,978.03,36.97,341.57,21.05,45.65,3.07,290.55,39.07,601.76,1006.59,28.02,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,0,0,1,2,1,1,0,1,4,3,1,1,3,0,2,2,4,2,4,3,1,1,3,3,0,3,1,0,2,1,0,2,2,1,0,4,1,2,4,1,2,2,1,0,2,0,0,1,1,2,0,4,0,1,0,2,2,2,1,1,2,2,2,1,1,2,4,2,0,4,1,3,3,3,2,2,2,4,1,2,4,4,1,1,0,1,2,2,0,1,0,1,0,1,0,0,3,2,0,1,2,5,16,11,17,24,31,29,24,22,32,25,18,9,4,0,1,1,2,2,1,2,0,1,0,2,2,2,2,2,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690226.134,2226.1335,3,0,431,431,146.30,2515,2562,15.54,18.94,978.07,36.97,341.57,21.41,46.78,2.95,273.41,39.05,600.44,1006.15,28.12,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,2,1,2,1,2,4,3,0,4,0,1,1,3,1,2,0,0,0,0,2,3,0,0,1,2,1,0,3,1,1,1,2,4,0,4,2,3,2,2,2,0,0,3,0,0,0,1,0,0,0,2,0,3,2,0,0,1,2,2,0,1,2,1,2,0,1,1,4,1,1,2,1,2,4,1,1,1,2,3,5,4,1,3,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,2,1,7,12,18,22,19,24,29,33,27,11,26,18,8,3,1,0,1,1,1,2,0,0,2,5,1,1,0,2,0,3,4,2,1,1,2,0,1,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690227.134,2227.1338,3,0,439,439,150.35,2516,2560,14.76,18.37,977.99,36.99,341.57,24.42,49.66,2.92,274.29,38.99,600.88,1006.15,27.97,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,1,1,0,2,0,0,0,3,0,1,0,1,0,1,2,1,4,4,1,3,2,0,3,2,3,0,0,1,0,1,1,0,1,1,1,1,1,2,2,1,1,3,0,0,1,2,2,0,1,1,0,2,0,2,2,0,2,2,1,4,1,2,4,2,0,2,1,1,1,1,3,1,1,2,0,3,2,4,3,1,4,1,1,2,1,1,0,1,1,1,1,0,2,0,0,0,0,1,1,2,3,3,15,18,18,19,35,28,32,26,35,10,20,10,3,0,1,3,0,3,2,0,2,2,2,1,2,1,3,3,3,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690228.134,2228.1339,3,0,464,464,158.06,2517,2561,14.86,18.77,978.02,36.99,341.57,21.55,47.11,2.94,275.16,39.03,600.88,1006.59,28.10,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,1,0,2,1,2,2,0,0,2,4,1,1,3,4,3,6,2,4,3,2,2,0,3,1,3,0,0,1,0,3,2,0,1,5,0,3,3,1,2,1,2,0,0,4,2,3,1,1,3,1,4,0,3,2,2,2,2,0,1,3,1,0,1,2,2,3,2,0,2,2,3,1,1,3,2,5,4,2,3,3,2,0,5,1,3,0,2,1,1,0,0,0,0,0,0,0,1,0,2,2,3,0,3,6,10,19,23,42,30,18,23,24,19,28,10,6,3,2,0,1,0,2,2,0,0,0,5,2,1,3,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688690229.133,2229.1334,3,0,484,484,168.49,2513,2561,16.12,18.58,978.08,37.00,341.57,22.68,45.61,2.87,277.36,39.07,600.44,1005.71,28.07,11.35,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,1,0,0,1,1,2,1,1,3,2,3,1,2,6,7,6,2,1,1,2,3,0,1,0,2,2,0,2,4,0,2,5,3,1,1,1,0,0,4,1,4,3,1,4,2,1,1,1,0,1,1,1,3,3,2,3,2,0,3,2,2,1,1,1,2,0,1,2,2,0,1,2,2,2,6,4,1,2,2,2,1,3,2,0,2,3,3,1,1,0,1,1,2,0,0,1,0,0,0,0,3,1,1,1,14,17,18,34,36,28,34,20,26,20,12,7,1,2,1,0,1,1,0,3,1,1,0,4,0,2,0,1,2,3,2,0,2,1,1,0,0,3,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
