DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1688765769.231,77769.2312,3,2,73,73,710.35,2584,2632,16.12,19.64,975.61,40.28,342.97,0.00,0.00,0.10,145.93,39.31,603.52,992.09,25.51,11.37,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,8,21,13,10,7,9,4,1,0,0,0,0,0,0,0,0
1688765770.228,77770.2279,3,0,314,314,68.24,2584,2633,16.59,19.10,975.45,40.28,342.97,24.37,28.55,4.60,409.23,39.11,602.64,1003.96,25.48,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,18,62,53,65,43,43,23,5,2,0,0,0,0,0,0,0
1688765771.228,77771.2285,3,0,236,236,81.05,2584,2635,16.91,19.41,975.53,40.27,342.97,17.48,24.68,2.91,305.05,39.09,606.59,1003.96,25.45,11.38,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,23,45,36,44,37,26,18,5,0,2,0,0,0,0,0,0
1688765772.231,77772.2313,3,0,252,252,86.31,2583,2630,15.69,19.61,975.49,40.25,342.97,17.72,31.26,2.92,327.91,39.05,602.20,1004.84,25.42,11.37,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,19,59,42,43,29,44,14,0,1,1,0,0,0,0,0,0
1688765773.228,77773.2278,3,0,244,244,82.09,2584,2635,16.73,19.27,975.47,40.25,342.97,16.14,28.58,2.97,332.75,39.11,602.20,1003.08,25.45,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,11,41,57,43,30,35,19,6,2,0,0,0,0,0,0,0
1688765774.229,77774.2285,3,0,246,246,80.97,2588,2634,15.44,19.59,975.48,40.24,342.97,16.01,30.60,3.04,333.19,39.03,600.44,1004.40,25.45,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,16,43,52,40,36,38,16,4,1,0,0,0,0,0,0,0
1688765775.231,77775.2312,3,0,268,268,93.64,2586,2635,16.47,19.84,975.48,40.23,342.97,15.70,29.66,2.86,334.51,39.05,599.12,1005.27,25.45,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,12,54,57,51,36,34,13,8,1,1,0,1,0,0,0,0
1688765776.231,77776.2314,3,0,224,224,77.20,2581,2634,17.86,19.36,975.44,40.21,342.97,16.79,31.60,2.90,334.95,39.09,601.76,1003.96,25.51,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,20,58,29,34,29,30,14,6,2,0,0,0,2,0,0,0
1688765777.228,77777.2279,3,0,249,249,85.59,2583,2632,16.34,20.00,975.52,40.20,342.97,16.38,28.43,2.91,336.26,39.03,601.32,1005.71,25.40,11.40,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,18,52,37,48,43,31,13,5,1,1,0,0,0,0,0,0
1688765778.231,77778.2313,3,0,240,240,79.41,2583,2631,16.25,19.77,975.49,40.20,342.97,19.83,30.45,3.02,335.82,39.05,601.76,1005.27,25.48,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,13,45,51,41,31,35,20,3,0,0,1,0,0,0,0,0
