DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1688761155.036,73155.0364,3,2,248,248,0.00,2440,2479,13.09,16.75,976.98,24.70,341.70,0.00,0.00,-0.16,152.97,34.33,627.25,956.04,24.17,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,22,40,52,41,39,28,20,4,1,0,1,0,0,0,0,0
1688761156.037,73156.0372,3,0,470,470,137.57,2440,2486,15.43,16.70,977.04,24.72,341.70,12.81,26.02,3.42,316.04,34.33,626.37,968.35,24.14,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,42,82,78,62,70,79,48,9,0,0,0,0,0,0,0,0
1688761157.038,73157.0383,3,0,428,428,152.63,2436,2483,15.51,16.88,976.95,24.72,341.70,15.18,28.87,2.80,305.93,34.53,625.49,972.31,24.14,11.28,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,38,70,89,62,53,65,40,9,0,1,1,0,0,0,0,0
1688761158.038,73158.0383,3,0,484,484,167.12,2439,2486,15.86,17.01,977.05,24.74,341.70,15.93,30.12,2.90,312.09,34.70,625.49,974.07,24.20,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,65,92,84,66,54,67,44,10,1,0,0,1,0,0,0,0
1688761159.038,73159.0382,3,0,428,428,145.80,2437,2480,14.20,16.80,977.04,24.75,341.70,16.29,28.50,2.94,325.71,34.88,625.93,976.26,24.40,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,50,85,60,66,54,64,40,9,0,0,0,0,0,0,0,0
1688761160.035,73160.0348,3,0,443,443,153.10,2432,2474,14.11,17.17,977.34,24.76,341.71,16.16,28.99,2.89,324.84,34.92,625.49,976.26,24.23,11.29,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,46,86,64,62,74,71,32,6,1,0,0,0,0,0,1,0
1688761161.038,73161.0382,3,0,519,519,131.48,2433,2478,15.00,16.74,977.24,24.77,341.71,25.01,34.36,3.95,381.10,35.10,624.62,976.70,24.02,11.28,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,48,95,67,99,72,86,43,5,2,1,0,1,0,0,0,0
1688761162.038,73162.0382,3,0,452,452,151.80,2433,2474,13.50,16.67,977.10,24.79,341.71,14.81,27.34,2.98,333.63,35.23,624.62,978.46,24.23,11.30,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,74,77,75,71,69,38,11,0,0,0,1,0,1,0,0
1688761163.036,73163.0362,3,0,474,474,160.32,2432,2475,14.61,16.92,977.06,24.80,341.71,15.58,29.64,2.96,341.54,35.41,624.62,980.22,24.17,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,97,82,82,66,60,38,11,0,2,0,1,0,0,0,0
1688761164.038,73164.0382,3,0,460,460,157.12,2435,2479,14.66,16.77,977.03,24.81,341.71,14.65,28.60,2.93,340.22,35.49,624.62,983.74,24.23,11.31,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,35,94,81,68,51,76,35,14,0,4,1,0,0,1,0,0
