DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1688689627.015,1627.0150,3,2,109,109,0.00,2502,2551,16.26,17.94,977.83,34.52,341.46,0.00,0.00,-0.05,144.62,38.59,609.23,987.25,24.05,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,5,19,19,17,23,15,9,2,0,0,0,0,0,0,0,0
1688689628.011,1628.0114,3,0,343,343,82.92,2503,2553,16.44,18.10,977.93,34.52,341.46,11.39,25.10,4.14,372.31,38.44,608.35,1000.00,24.00,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,15,58,69,71,45,50,30,4,0,0,1,0,0,0,0,0
1688689629.012,1629.0116,3,0,338,338,117.13,2501,2546,15.02,18.41,978.00,34.47,341.46,14.47,29.11,2.89,318.68,38.46,608.79,1000.00,24.02,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,22,48,71,66,45,49,28,7,2,0,0,0,0,0,0,0
1688689630.015,1630.0151,3,0,312,312,104.14,2500,2551,16.92,18.34,978.00,34.43,341.46,16.44,32.03,3.00,334.07,38.46,604.40,1000.44,24.05,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,22,51,52,64,52,47,17,5,1,0,1,0,0,0,0,0
1688689631.012,1631.0121,3,0,352,352,121.32,2498,2544,15.16,18.28,977.96,34.41,341.46,15.32,31.00,2.90,335.38,38.42,607.47,1001.32,24.26,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,22,65,70,59,52,49,27,8,0,0,0,0,0,0,0,0
1688689632.015,1632.0149,3,0,340,340,115.92,2502,2548,15.31,17.96,978.00,34.39,341.46,16.10,29.97,2.93,339.34,38.46,607.03,1001.76,24.05,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,28,63,64,65,51,42,17,6,2,1,0,0,0,1,0,0
1688689633.015,1633.0153,3,0,325,325,109.83,2502,2556,17.96,17.96,978.02,34.39,341.46,15.52,29.80,2.96,340.66,38.48,607.91,1000.88,23.88,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,28,39,50,73,61,42,25,4,2,1,0,0,0,0,0,0
1688689634.015,1634.0150,3,0,324,324,110.07,2500,2550,16.71,17.84,978.01,34.42,341.46,16.02,31.11,2.94,340.22,38.54,607.47,1002.20,23.97,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,19,47,59,68,50,43,25,8,2,2,0,1,0,0,0,0
1688689635.012,1635.0116,3,0,309,309,103.41,2499,2547,15.96,18.16,977.99,34.44,341.46,15.75,31.16,2.99,340.22,38.50,607.91,1003.08,23.94,11.32,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,19,45,59,56,49,49,23,6,1,0,2,0,0,0,0,0
